Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000256683	0.9585634689628388	1.2574781427473553e-4	0.025100790072109587	0.9746686512361039	NA	NA
ENSG00000011405	0.9584296805470515	1.2574289569397207e-4	0.0251007894954299	0.974652516044464	NA	NA
ENSG00000125257	0.9584706269671899	1.2572812804037545e-4	0.02510078955816685	0.9746645115700181	NA	NA
ENSG00000256806	0.9586378603933113	1.2572098947220101e-4	0.02510079018330886	0.9746902438139373	NA	NA
ENSG00000185278	0.958504071977524	1.2571628635648947e-4	0.02510078960783878	0.9746741028105924	NA	NA
ENSG00000140044	0.9585316416601302	1.2570630419511696e-4	0.025100789649758204	0.9746821720678217	NA	NA
ENSG00000264324	0.9585960148699127	1.2568273760091904e-4	0.025100789748183035	0.9747011608366783	NA	NA
ENSG00000100324	0.11554099832630577	1.256599640013251e-4	0.025172977042707465	0.9348362048689974	NA	NA
ENSG00000235663	1.3060292667268927	1.2550570528596552e-4	0.025074075840810065	0.9562820165932506	NA	NA
ENSG00000105705	1.3066264055602	1.2540158704122366e-4	0.025074079049758304	0.9561254451198689	NA	NA
ENSG00000139160	0.11526472660125901	1.2518710449705846e-4	0.02517297395529681	0.9348428812473945	NA	NA
ENSG00000174007	0.1155392029174226	1.2517578314218513e-4	0.02517297331979175	0.9348362482077118	NA	NA
ENSG00000157168	0.11557421218082976	1.2516617631872637e-4	0.025172973174565117	0.9348354032476354	NA	NA
ENSG00000185904	0.11542433436364477	1.2503331894841516e-4	0.025172972458850265	0.934839022311653	NA	NA
ENSG00000154309	1.0862947537414056	1.249187529619925e-4	0.025090902259474444	0.9457328592129028	NA	NA
ENSG00000105865	1.086153733900168	1.246481032070661e-4	0.025090899567257602	0.9457426368251647	NA	NA
ENSG00000156427	0.11585954146421477	1.2452735797723827e-4	0.025172967721347177	0.9348285258052109	NA	NA
